,source,target
455,Maarja Tali,Carmen Kas
456,Maarja Tali,Carmen Kas
457,Maarja Tali,Tunne Kelam
458,Maarja Tali,Hedvig Maigre
459,Maarja Tali,Tunne Kelam
460,Maarja Tali,Carmen Kas
461,Maarja Tali,Indrek Laul
462,Maarja Tali,Tunne Kelam
463,Nat King Cole,Carmen Kas
464,Nat King Cole,Rain Tolk
465,Nat King Cole,Carmen Kas
466,Nat King Cole,Tunne Kelam
467,Nat King Cole,Mart Mardisalu
468,Nat King Cole,Maarja Tali
469,Nat King Cole,Carmen Kas
470,Nat King Cole,Carmen Kas
471,Nat King Cole,Carmen Kas
472,Nat King Cole,Tunne Kelam
473,Nat King Cole,Hedvig Maigre
474,Nat King Cole,Tunne Kelam
475,Nat King Cole,Carmen Kas
476,Nat King Cole,Indrek Laul
477,Nat King Cole,Tunne Kelam
478,Carmen Kas,Rain Tolk
479,Carmen Kas,Tunne Kelam
480,Carmen Kas,Mart Mardisalu
481,Carmen Kas,Maarja Tali
482,Carmen Kas,Nat King Cole
483,Carmen Kas,Tunne Kelam
484,Carmen Kas,Hedvig Maigre
485,Carmen Kas,Tunne Kelam
486,Carmen Kas,Indrek Laul
487,Carmen Kas,Tunne Kelam
488,Carmen Kas,Rain Tolk
489,Carmen Kas,Tunne Kelam
490,Carmen Kas,Mart Mardisalu
491,Carmen Kas,Maarja Tali
492,Carmen Kas,Nat King Cole
493,Carmen Kas,Tunne Kelam
494,Carmen Kas,Hedvig Maigre
495,Carmen Kas,Tunne Kelam
496,Carmen Kas,Indrek Laul
497,Carmen Kas,Tunne Kelam
498,Carmen Kas,Rain Tolk
499,Carmen Kas,Tunne Kelam
500,Carmen Kas,Mart Mardisalu
501,Carmen Kas,Maarja Tali
502,Carmen Kas,Nat King Cole
503,Carmen Kas,Tunne Kelam
504,Carmen Kas,Hedvig Maigre
505,Carmen Kas,Tunne Kelam
506,Carmen Kas,Indrek Laul
507,Carmen Kas,Tunne Kelam
508,Tunne Kelam,Carmen Kas
509,Tunne Kelam,Rain Tolk
510,Tunne Kelam,Carmen Kas
511,Tunne Kelam,Mart Mardisalu
512,Tunne Kelam,Maarja Tali
513,Tunne Kelam,Nat King Cole
